Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),DistrictHeating:HVAC [J](Hourly),DistrictCooling:HVAC [J](Hourly) 
 01/12  07:00:00,11728490.222022232,0.0,11728490.222022232,0.0 
 01/12  08:00:00,11412806.003213633,0.0,11412806.003213633,0.0 
 01/12  09:00:00,11882714.018117046,0.0,11882714.018117046,0.0 
 01/12  10:00:00,11714662.40522032,0.0,11714662.405220323,0.0 
 01/12  11:00:00,11416570.87175154,0.0,11416570.871751542,0.0 
 01/12  12:00:00,10446332.5539425,0.0,10446315.34091442,0.0 
 01/12  13:00:00,10177985.564622365,0.0,10177985.564622365,0.0 
 01/12  14:00:00,10414011.040229138,0.0,10414011.040229138,0.0 
 01/12  15:00:00,10152724.133828249,0.0,10152704.628419824,0.0 
 01/12  16:00:00,10127937.851448005,0.0,10127937.851448004,0.0 
 01/12  17:00:00,9950462.938199029,0.0,9950470.373586854,0.0 
 01/12  18:00:00,10163364.19028831,0.0,10163364.19028831,0.0 
 01/12  19:00:00,10646480.332291179,0.0,10646480.33229118,0.0 
 01/12  20:00:00,10646046.21705291,0.0,10646046.21705291,0.0 
 01/12  21:00:00,11398448.009129428,0.0,11398448.009129426,0.0 
 01/12  22:00:00,11638034.661822672,0.0,11638034.661822672,0.0 
 01/12  23:00:00,11892510.983240325,0.0,11892510.983240322,0.0 
 01/12  24:00:00,12501642.21063734,0.0,12501642.21063734,0.0 
 01/13  01:00:00,12721109.863610769,0.0,12721109.863610769,0.0 
 01/13  02:00:00,12874504.102459778,0.0,12874504.102459778,0.0 
 01/13  03:00:00,13044237.811374039,0.0,13044237.811374035,0.0 
 01/13  04:00:00,13168991.789999476,0.0,13168991.789999476,0.0 
 01/13  05:00:00,13251708.67744619,0.0,13251708.677446193,0.0 
 01/13  06:00:00,13461056.550453566,0.0,13461056.550453566,0.0 
 01/13  07:00:00,12978255.984200325,0.0,12978255.984200325,0.0 
 01/13  08:00:00,12580349.642939965,0.0,12580349.642939963,0.0 
 01/13  09:00:00,13128981.068716253,0.0,13128981.06871625,0.0 
 01/13  10:00:00,12553940.890772507,0.0,12553940.890772507,0.0 
 01/13  11:00:00,11418623.960642182,0.0,11418623.960642184,0.0 
 01/13  12:00:00,9767651.208883439,0.0,9767611.284822528,0.0 
 01/13  13:00:00,9014657.58152769,0.0,9014657.58152769,0.0 
 01/13  14:00:00,8952342.292722948,0.0,8952342.292722948,0.0 
 01/13  15:00:00,8510138.122404829,0.0,8510135.458294142,0.0 
 01/13  16:00:00,8230970.029579559,0.0,8230970.029579561,0.0 
 01/13  17:00:00,8112734.662035165,0.0,8112742.971790648,0.0 
 01/13  18:00:00,8465240.954110263,0.0,8465240.954110263,0.0 
